@relation ecoli-weka.filters.unsupervised.instance.Randomize-S29-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1

@attribute F1 numeric
@attribute F2 numeric
@attribute F3 numeric
@attribute F4 numeric
@attribute F5 numeric
@attribute F6 numeric
@attribute F7 numeric
@attribute CLASS {A,F,E,B,H,G,D,C}

@data

0.29,0.52,0.48,0.5,0.42,0.29,0.39,A
0.51,0.49,0.48,0.5,0.53,0.14,0.26,A
0.44,0.42,0.48,0.5,0.42,0.25,0.2,A
0.36,0.41,0.48,0.5,0.48,0.47,0.54,A
0.24,0.34,0.48,0.5,0.38,0.3,0.4,A
0.64,0.76,0.48,0.5,0.45,0.35,0.38,A
0.41,0.57,0.48,0.5,0.39,0.21,0.32,A
0.4,0.41,0.48,0.5,0.55,0.22,0.33,A
0.51,0.5,0.48,0.5,0.46,0.32,0.35,A
0.61,0.36,0.48,0.5,0.49,0.35,0.44,A
0.44,0.49,0.48,0.5,0.39,0.38,0.4,A
0.31,0.23,0.48,0.5,0.73,0.05,0.14,A
0.32,0.33,0.48,0.5,0.6,0.06,0.2,A
0.38,0.4,0.48,0.5,0.63,0.25,0.35,A
0.67,0.39,0.48,0.5,0.36,0.38,0.46,A
0.57,0.54,0.48,0.5,0.37,0.28,0.33,A
0.4,0.46,0.48,0.5,0.52,0.49,0.56,A
0.07,0.4,0.48,0.5,0.54,0.35,0.44,A
0.23,0.58,0.48,0.5,0.37,0.53,0.59,A
0.41,0.48,0.48,0.5,0.51,0.44,0.51,A
0.35,0.34,0.48,0.5,0.46,0.3,0.27,A
0.28,0.33,0.48,0.5,0.45,0.22,0.33,A
0.3,0.37,0.48,0.5,0.43,0.18,0.3,A
0.47,0.28,0.48,0.5,0.56,0.2,0.25,A
0.56,0.51,0.48,0.5,0.34,0.37,0.46,A
0.25,0.4,0.48,0.5,0.46,0.44,0.52,A
0.42,0.24,0.48,0.5,0.57,0.27,0.37,A
0.29,0.3,0.48,0.5,0.45,0.03,0.17,A
0.44,0.51,0.48,0.5,0.47,0.26,0.36,A
