@relation german-weka.filters.unsupervised.instance.Randomize-S9-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1

@attribute f1 numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute f4 numeric
@attribute f5 numeric
@attribute f6 numeric
@attribute f7 numeric
@attribute f8 numeric
@attribute f9 numeric
@attribute f10 numeric
@attribute f11 numeric
@attribute f12 numeric
@attribute f13 numeric
@attribute f14 numeric
@attribute f15 numeric
@attribute f16 numeric
@attribute f17 numeric
@attribute f18 numeric
@attribute f19 numeric
@attribute f20 numeric
@attribute class {p,m}

@data

0.294297,0.066933,-0.131001,-0.046358,-0.093758,0.476604,-0.299506,0.239084,0.116937,-0.079174,-0.434934,-0.08881,0.421912,0.120063,0.034899,-0.18361,0.038285,-0.111468,-0.214342,-0.051046,p
0.32394,-0.14047,-0.144196,-0.036694,-0.106642,0.162257,-0.091162,-0.249405,-0.276066,-0.087148,0.301006,0.175157,-0.392741,0.132156,-0.501677,-0.202104,0.042141,-0.122696,-0.235931,-0.056188,p
-0.121379,-0.261004,-0.133014,-0.027237,-0.108156,-0.184844,-0.084092,-0.230064,0.118734,-0.08039,-0.202562,-0.341129,0.033848,0.121907,0.035435,-0.186431,-0.364929,0.616148,-0.217635,-0.05183,p
0.07095,-0.261838,0.282954,-0.037586,-0.1457,-0.014042,0.282954,-0.183709,-0.502559,-0.064192,0.221717,0.129018,-0.139999,0.097344,0.028295,0.217494,0.03104,0.492001,0.255503,-0.041387,p
-0.072422,-0.19565,-0.079365,-0.016252,-0.149893,-0.11029,-0.18145,0.003803,0.293476,-0.047966,0.02209,-0.20354,-0.13238,0.072738,0.021143,-0.111237,-0.21774,-0.067531,-0.129855,0.804691,p
-0.162365,-0.128204,0.174055,-0.007014,-0.091314,-0.008638,0.174055,0.00313,0.058322,0.503981,0.136387,-0.167561,0.141582,0.05988,0.017406,0.133789,0.019094,0.302649,-0.106901,0.66245,p
0.101762,-0.223513,-0.15234,-0.031195,-0.027379,-0.211701,-0.096311,0.007299,0.563326,-0.09207,-0.505782,0.185049,-0.305892,0.13962,0.040584,-0.213519,0.044521,-0.129625,-0.249256,-0.059361,p
0.333953,0.075952,-0.148653,-0.03044,-0.017407,0.540826,-0.339864,0.2713,0.132695,-0.089842,-0.226379,0.180571,-0.27396,0.136241,0.039601,0.3044,0.043443,-0.126488,-0.243224,-0.057925,p
0.260454,-0.170102,-0.115937,-0.035265,-0.067534,0.421798,-0.265064,-0.200527,0.428712,-0.070069,0.242015,0.14083,-0.193382,0.106256,-0.403358,-0.162496,0.033882,-0.09865,0.278893,-0.045176,p
0.277203,-0.181041,-0.350797,0.005152,0.015283,0.138847,-0.078009,0.225197,-0.236236,-0.074575,0.034344,-0.316453,-0.011775,0.113089,0.032872,-0.172945,-0.338531,0.571578,-0.201892,-0.048081,p
-0.10952,-0.057504,0.31973,-0.030541,0.345977,-0.166785,-0.470051,0.219039,0.107134,-0.072536,0.250535,-0.081364,0.093533,-0.228345,0.031973,0.245763,0.400856,-0.102123,0.288712,-0.046767,p
-0.297022,-0.116433,0.318407,-0.030415,-0.150887,-0.166095,0.318407,0.218133,0.10669,-0.072236,0.249498,0.145184,0.17655,0.109542,0.031841,0.244746,0.03493,0.553648,0.287517,-0.046573,p
0.049189,-0.181529,0.196169,-0.026058,-0.099988,-0.10233,0.196169,-0.257655,0.065731,-0.044504,0.153714,-0.188849,0.134537,0.067488,0.019617,0.150787,0.02152,0.3411,-0.120483,0.746613,p
-0.127671,-0.136293,0.372721,0.012795,-0.09318,0.157433,-0.088452,-0.24199,0.124889,-0.084558,0.292057,0.169949,-0.20889,-0.659215,0.037272,-0.196096,0.040888,-0.119048,-0.228917,-0.054517,p
-0.237554,-0.235654,0.254658,-0.033828,0.027176,-0.13284,-0.060434,-0.334477,0.08533,-0.057773,0.026606,-0.245156,0.024326,0.08761,-0.332576,0.52452,0.027936,0.442801,-0.156406,-0.037249,p
0.322965,-0.140047,-0.143762,-0.050874,-0.008631,0.342972,0.145763,-0.248655,-0.275235,-0.086886,0.040013,0.17463,-0.39156,0.131758,-0.500168,-0.201496,0.042014,-0.122327,-0.235222,-0.056019,p
-0.164178,0.269696,0.150228,0.016454,-0.097291,-0.023786,0.4793,0.328356,0.160601,-0.108737,-0.273988,-0.121971,0.171332,-0.342306,0.04793,0.368417,0.05258,-0.15309,-0.294376,-0.070107,p
0.266674,-0.115637,-0.118705,-0.024307,-0.157644,0.43187,-0.075046,0.216643,0.438949,-0.071742,-0.180772,-0.304433,0.09251,0.108793,-0.41299,-0.166376,0.034691,-0.101006,0.285553,-0.046255,p
-0.251558,0.251558,0.26967,-0.02576,0.149727,-0.140671,-0.063996,0.00485,0.09036,0.780835,-0.154155,-0.068625,-0.133426,0.092774,0.026967,0.207284,0.029583,-0.086133,-0.165626,-0.039444,p
-0.337237,-0.199105,0.361518,-0.041278,-0.178061,-0.188583,0.361518,0.247667,0.121135,-0.082016,0.037771,-0.348028,0.437059,0.124373,0.036152,-0.190202,0.039659,-0.11547,-0.222037,-0.052879,p
0.071525,0.054708,0.285247,-0.027247,0.02597,0.389554,0.285247,0.195416,0.095579,0.381039,0.223515,0.332079,-0.291633,0.098134,-0.372524,0.219257,0.031292,-0.091109,-0.175193,-0.041723,p
-0.157933,-0.082924,-0.173073,0.015828,-0.162062,0.412897,-0.109418,0.315866,0.154492,-0.104601,-0.263566,-0.117332,-0.016516,0.158621,0.046107,-0.242577,-0.474832,-0.147267,0.416338,-0.06744,p
-0.150482,0.084257,-0.164907,-0.058357,-0.240312,-0.229166,-0.377025,0.300964,0.147204,-0.099666,-0.547506,-0.111796,-0.275064,0.151138,0.043932,-0.231133,0.048194,-0.140319,-0.269819,-0.064258,p
-0.099083,0.269834,0.090664,0.00993,0.502971,-0.014355,0.110092,-0.379927,0.096924,-0.065624,0.030221,-0.073611,-0.086347,0.099515,0.028926,0.222343,-0.297897,0.502971,0.2612,-0.04231,p
0.271818,-0.298278,-0.120995,-0.006976,-0.147696,-0.168142,-0.276629,-0.423363,-0.231647,-0.073126,-0.184259,0.375253,0.432985,0.110892,0.032233,-0.169586,0.03536,-0.102954,-0.19797,-0.047147,p
0.281336,-0.060002,-0.125232,-0.025644,-0.155855,-0.17403,-0.079172,0.228554,0.111787,-0.075687,-0.190711,0.388393,-0.077679,0.114775,0.502919,-0.175524,0.418269,-0.106559,0.301253,-0.048798,p
-0.337314,0.337314,0.361601,-0.034541,-0.088241,-0.188626,-0.085813,0.006503,0.501924,-0.082035,-0.206706,-0.092019,0.247994,0.124402,0.03616,0.277947,0.039668,-0.115496,0.32652,-0.052891,p
-0.086083,0.23443,-0.268188,-0.014816,0.047824,0.343206,-0.215676,0.00452,-0.180605,-0.057013,-0.143659,0.292569,-0.107838,-0.44448,0.025131,-0.132219,-0.545754,-0.080269,-0.154349,-0.036759,p
0.298282,-0.129343,0.353715,-0.027189,-0.182929,0.149405,-0.083941,-0.229651,0.490977,-0.080246,-0.202198,-0.090012,0.266606,0.121688,0.035371,0.271885,-0.364273,-0.112978,-0.217244,-0.051737,p
-0.118192,-0.190034,-0.605123,0.005407,-0.169692,-0.179992,-0.081885,-0.224024,0.115617,-0.07828,-0.197244,-0.332174,-0.103,0.118707,0.034505,-0.181537,-0.355349,-0.11021,0.311574,-0.05047,p
-0.09638,0.367463,0.281372,0.009659,0.19948,-0.146775,0.107089,-0.182682,-0.20221,-0.063834,-0.350665,-0.270873,0.10058,-0.49765,0.028137,0.216278,-0.289771,-0.089871,-0.172813,-0.041156,p
-0.249101,-0.247108,0.267036,-0.020526,-0.148464,0.364684,0.267036,0.18294,0.089477,-0.060581,0.209245,-0.257072,0.552008,0.091868,0.026704,0.205259,0.029294,-0.085292,0.24113,-0.039059,p
