@relation glass6

@attribute f1 numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute f4 numeric
@attribute f5 numeric
@attribute f6 numeric
@attribute f7 numeric
@attribute f8 numeric
@attribute f9 numeric
@attribute class {A,B,C,D,E,F}

@data
0.277875,0.320301,0.792873,0.305296,0.607143,0.086957,0.274164,0,0.333333,A
0.286655,0.288722,0.792873,0.314642,0.583929,0.098229,0.302974,0,0.27451,A
0.466198,0.371429,0.819599,0.267913,0.525,0.086957,0.287175,0,0,B
0.70676,0.461654,0.701559,0.115265,0.135714,0.012882,0.577138,0,0,B
0.346795,0.491729,0.532294,0.395639,0.457143,0,0.384758,0,0,E
0.330992,0.369925,0.750557,0.277259,0.519643,0.091787,0.315985,0,0.313725,A
0.317823,0.318797,0.817372,0.29595,0.492857,0.099839,0.302045,0,0.686275,B
0.359526,0.437594,0.788419,0.143302,0.507143,0.025765,0.321561,0.047619,0.470588,C
0.287094,0.258647,0.603563,0.311526,0.694643,0.090177,0.337361,0,0.470588,A
0.043898,0.33985,0.772829,0.258567,0.566071,0.099839,0.271375,0,0.607843,A
0.482002,0.523308,0.85078,0.056075,0.35,0.017713,0.384758,0,0,A
0.201493,0.621053,0.817372,0.451713,0.367857,0.025765,0.179368,0,0.235294,B
0.291045,0.372932,0.625835,0.311526,0.566071,0.082126,0.333643,0,0.176471,A
0.385865,0.381955,0,0.457944,0.575,0.075684,0.547398,0,0,D
0.351624,0.514286,0,0.560748,0.523214,0,0.506506,0,0,E
0.283582,0.475188,0.801782,0.333333,0.521429,0.077295,0.223048,0,0,A
0.482002,0.523308,0.85078,0.056075,0.35,0.017713,0.384758,0,0,A
0.291484,0.437594,0.812918,0.11215,0.569643,0.009662,0.325279,0,0,C
0.344601,0.415038,0.775056,0.330218,0.382143,0.088567,0.331784,0,0,A
0.289728,0.318797,0.775056,0.292835,0.564286,0.098229,0.290892,0.028571,0.431373,A
0.007024,0.445113,0.712695,0.47352,0.535714,0.283414,0,0.377778,0,F
0.209394,0.320301,0.783964,0.570093,0.508929,0.111111,0.236059,0,0,B
0.304214,0.406015,0.639198,0.280374,0.541071,0.088567,0.334572,0,0,A
0.260755,0.341353,0.772829,0.46729,0.519643,0.10628,0.255576,0,0,B
0.230465,0.547368,0,0.76324,0.542857,0,0.373606,0.171429,0,F
0.223881,0.395489,0.797327,0.373832,0.519643,0.072464,0.258364,0,0,B
0.300702,0.44812,0.875278,0.389408,0.357143,0.086957,0.258364,0,0.294118,B
0.297629,0.309774,0.77951,0.258567,0.575,0.10306,0.310409,0,0,A
0.209833,0.354887,0.799555,0.383178,0.5875,0.10789,0.223048,0,0,B
0.250219,0.630075,0,0.529595,0.580357,0,0.276022,0.504762,0,F
0.261633,0.526316,0,0.557632,0.633929,0,0.296468,0.530159,0,F
0.520193,0.38797,0.797327,0.165109,0.389286,0.019324,0.44052,0,0.058824,A
0.226514,0.392481,0.7951,0.398754,0.546429,0.098229,0.228625,0,0,B
0.21115,0.344361,0.792873,0.389408,0.589286,0.115942,0.229554,0,0,B
0.308604,0.449624,0,0.084112,0.828571,0,0.516729,0,0,B
0.882353,0,0,0.563863,0,0.093398,0.731413,1,0.54902,B
0.37489,0.287218,0,0.423676,0.703571,0.061192,0.566914,0,0,D
0.25417,0.320301,0.797327,0.317757,0.5,0.098229,0.312268,0,0,C
0.278753,0.314286,0.790646,0.373832,0.525,0.086957,0.287175,0,0.372549,A
0.488147,0.517293,0.848552,0.152648,0.275,0,0.395911,0,0,A
0.318701,0.330827,0.832962,0.255452,0.441071,0.10306,0.328067,0,0.431373,B
0.37489,0.57594,0,0.084112,0.655357,0,0.538104,0,0,E
0.19842,0.384962,0.768374,0.286604,0.523214,0.090177,0.291822,0,0,A
0.280509,0.4,0.815145,0.280374,0.532143,0.091787,0.263941,0,0.215686,A
0.235733,0.425564,0.7951,0.367601,0.471429,0.10306,0.23513,0,0,B
0.23266,0.633083,0,0.492212,0.589286,0,0.301115,0.438095,0,F
0.23266,0.407519,0.804009,0.389408,0.460714,0.10628,0.241636,0,0,B
0,1,0,0.015576,1,0,0.113383,0,0,E
0.432836,0.437594,1,0.252336,0.351786,0.009662,0.30855,0,0,A
0.28007,0.276692,0.772829,0.339564,0.639286,0.096618,0.289963,0,0.117647,A
0.209833,0.378947,0.768374,0.35514,0.6,0.098229,0.225836,0,0,B
0.295874,0.369925,0.868597,0.314642,0.45,0.088567,0.27974,0,0.54902,B
0.233099,0.403008,0.790646,0.299065,0.535714,0.109501,0.248141,0,0,B
0.397278,0.488722,0.300668,0.417445,0.348214,0.062802,0.476766,0,0.352941,B
0.210272,0.354887,0.783964,0.392523,0.546429,0.109501,0.243494,0,0.176471,B
0.550483,0.407519,0,0.401869,0.430357,0.05153,0.6329,0,0,D
0.220808,0.421053,0.790646,0.389408,0.567857,0.062802,0.218401,0,0,A
0.280948,0.297744,0.761693,0.283489,0.605357,0.095008,0.298327,0,0,A
0.208077,0.323308,0.76392,0.345794,0.619643,0.111111,0.243494,0,0.470588,A
0.373573,0.607519,0.835189,0,0.394643,0.004831,0.331784,0,0,A
0.260316,0.449624,0.819599,0.47352,0.401786,0.10306,0.227695,0,0,B
0.309482,0.284211,0.614699,0.168224,0.714286,0.056361,0.370818,0,0.392157,B
0.217296,0.404511,0.757238,0.28972,0.514286,0.095008,0.268587,0,0,C
0.526778,0.407519,0.743875,0.292835,0.458929,0.096618,0.315985,0,0,F
0.349429,0.476692,0.830735,0.277259,0.4125,0.009662,0.321561,0,0,A
0.239245,0.33985,0.708241,0.292835,0.564286,0.093398,0.314126,0,0.470588,B
0.486392,0.372932,0.839644,0.155763,0.389286,0.020934,0.42658,0,0,A
0.23705,0.303759,0.634744,0.358255,0.617857,0.091787,0.312268,0.034921,0.431373,B
0.444249,0.53985,0.868597,0.168224,0.301786,0,0.377323,0,0,C
0.242318,0.332331,0.804009,0.302181,0.525,0.090177,0.29461,0,0,B
0.729587,0.287218,0,0.11838,0.394643,0.009662,0.833643,0,0,B
0.32309,0.371429,0.808463,0.242991,0.539286,0.091787,0.276952,0.028571,0.333333,B
0.480685,0.451128,0.855234,0.133956,0.348214,0.027375,0.400558,0,0,A
