@relation monk1_cross

@attribute att1 {1,2,3,4,5,6,7,8,9}
@attribute att2 {1,2}
@attribute att3 {1,2,3}
@attribute att4 {1,2,3,4}
@attribute att5 {2,1}
@attribute att6 {1,2}

@data
1,1,1,1,2,1
1,1,1,2,1,1
1,1,1,2,2,1
1,1,1,3,1,1
1,1,1,3,2,1
1,1,1,4,1,1
1,1,1,4,2,1
1,1,2,1,1,1
1,1,2,1,2,1
1,1,2,2,1,1
1,1,2,2,2,1
1,1,2,3,1,1
1,1,2,3,2,1
1,1,2,4,1,1
1,1,2,4,2,1
1,1,3,1,1,1
1,1,3,1,2,1
1,1,3,2,1,1
1,1,3,2,2,1
1,1,3,3,1,1
1,1,3,3,2,1
1,1,3,4,1,1
1,1,3,4,2,1
1,2,1,1,1,1
1,2,1,1,2,1
1,2,1,2,1,1
1,2,1,2,2,1
1,2,1,3,1,1
1,2,1,3,2,1
1,2,1,4,1,1
1,2,1,4,2,1
1,2,2,1,1,1
1,2,2,1,2,1
1,2,2,2,1,1
1,2,2,2,2,1
1,2,2,3,1,1
1,2,2,3,2,1
1,2,2,4,1,1
1,2,2,4,2,1
1,2,3,1,1,1
1,2,3,1,2,1
1,2,3,2,1,1
1,2,3,2,2,1
1,2,3,3,1,1
1,2,3,3,2,1
1,2,3,4,1,1
1,2,3,4,2,1
2,1,1,1,1,1
2,1,1,1,2,1
2,1,1,2,1,2
2,1,1,2,2,2
2,1,1,3,1,2
2,1,1,3,2,2
2,1,1,4,1,2
2,1,1,4,2,2
2,1,2,1,1,1
2,1,2,1,2,1
2,1,2,2,1,2
2,1,2,2,2,2
2,1,2,3,1,2
2,1,2,3,2,2
2,1,2,4,1,2
2,1,2,4,2,2
2,1,3,1,1,1
2,1,3,1,2,1
2,1,3,2,1,2
2,1,3,2,2,2
2,1,3,3,1,2
2,1,3,3,2,2
2,1,3,4,1,2
2,1,3,4,2,2
2,2,1,1,1,1
2,2,1,1,2,1
2,2,1,2,1,2
2,2,1,2,2,2
2,2,1,3,1,2
2,2,1,3,2,2
2,2,1,4,1,2
2,2,1,4,2,2
2,2,2,1,1,1
2,2,2,1,2,1
2,2,2,2,1,2
2,2,2,2,2,2
2,2,2,3,1,2
2,2,2,3,2,2
2,2,2,4,1,2
2,2,2,4,2,2
2,2,3,1,1,1
2,2,3,1,2,1
2,2,3,2,1,2
2,2,3,2,2,2
2,2,3,3,1,2
2,2,3,3,2,2
2,2,3,4,1,2
2,2,3,4,2,2
3,1,1,1,1,1
3,1,1,1,2,1
3,1,1,2,1,2
3,1,1,2,2,2
3,1,1,3,1,2
3,1,1,3,2,2
3,1,1,4,1,2
3,1,1,4,2,2
3,1,2,1,1,1
3,1,2,1,2,1
3,1,2,2,1,2
3,1,2,2,2,2
3,1,2,3,1,2
3,1,2,3,2,2
3,1,2,4,1,2
3,1,2,4,2,2
3,1,3,1,1,1
3,1,3,1,2,1
3,1,3,2,1,2
3,1,3,2,2,2
3,1,3,3,1,2
3,1,3,3,2,2
3,1,3,4,1,2
3,1,3,4,2,2
3,2,1,1,1,1
3,2,1,1,2,1
3,2,1,2,1,2
3,2,1,2,2,2
3,2,1,3,1,2
3,2,1,3,2,2
3,2,1,4,1,2
3,2,1,4,2,2
3,2,2,1,1,1
3,2,2,1,2,1
3,2,2,2,1,2
3,2,2,2,2,2
3,2,2,3,1,2
3,2,2,3,2,2
3,2,2,4,1,2
3,2,2,4,2,2
3,2,3,1,1,1
3,2,3,1,2,1
3,2,3,2,1,2
3,2,3,2,2,2
3,2,3,3,1,2
3,2,3,3,2,2
3,2,3,4,1,2
3,2,3,4,2,2
4,1,1,1,1,1
4,1,1,1,2,1
4,1,1,2,1,2
4,1,1,2,2,2
4,1,1,3,1,2
4,1,1,3,2,2
4,1,1,4,1,2
4,1,1,4,2,2
4,1,2,1,1,1
4,1,2,1,2,1
4,1,2,2,1,2
4,1,2,2,2,2
4,1,2,3,1,2
4,1,2,3,2,2
4,1,2,4,1,2
4,1,2,4,2,2
4,1,3,1,1,1
4,1,3,1,2,1
4,1,3,2,1,2
4,1,3,2,2,2
4,1,3,3,1,2
4,1,3,3,2,2
4,1,3,4,1,2
4,1,3,4,2,2
4,2,1,1,1,1
4,2,1,1,2,1
4,2,1,2,1,2
4,2,1,2,2,2
4,2,1,3,1,2
4,2,1,3,2,2
4,2,1,4,1,2
4,2,1,4,2,2
4,2,2,1,1,1
4,2,2,1,2,1
4,2,2,2,1,2
4,2,2,2,2,2
4,2,2,3,1,2
4,2,2,3,2,2
4,2,2,4,1,2
4,2,2,4,2,2
4,2,3,1,1,1
4,2,3,1,2,1
4,2,3,2,1,2
4,2,3,2,2,2
4,2,3,3,1,2
4,2,3,3,2,2
4,2,3,4,1,2
4,2,3,4,2,2
5,1,1,1,1,1
5,1,1,1,2,1
5,1,1,2,1,1
5,1,1,2,2,1
5,1,1,3,1,1
5,1,1,3,2,1
5,1,1,4,1,1
5,1,1,4,2,1
5,1,2,1,1,1
5,1,2,1,2,1
5,1,2,2,1,1
5,1,2,2,2,1
5,1,2,3,1,1
5,1,2,3,2,1
5,1,2,4,1,1
5,1,2,4,2,1
5,1,3,1,1,1
5,1,3,1,2,1
5,1,3,2,1,1
5,1,3,2,2,1
5,1,3,3,1,1
5,1,3,3,2,1
5,1,3,4,1,1
5,1,3,4,2,1
5,2,1,1,1,1
5,2,1,1,2,1
5,2,1,2,1,1
5,2,1,2,2,1
5,2,1,3,1,1
5,2,1,3,2,1
5,2,1,4,1,1
5,2,1,4,2,1
5,2,2,1,1,1
5,2,2,1,2,1
5,2,2,2,1,1
5,2,2,2,2,1
5,2,2,3,1,1
5,2,2,3,2,1
5,2,2,4,1,1
5,2,2,4,2,1
5,2,3,1,1,1
5,2,3,1,2,1
5,2,3,2,1,1
5,2,3,2,2,1
5,2,3,3,1,1
5,2,3,3,2,1
5,2,3,4,1,1
5,2,3,4,2,1
6,1,1,1,1,1
6,1,1,1,2,1
6,1,1,2,1,2
6,1,1,2,2,2
6,1,1,3,1,2
6,1,1,3,2,2
6,1,1,4,1,2
6,1,1,4,2,2
6,1,2,1,1,1
6,1,2,1,2,1
6,1,2,2,1,2
6,1,2,2,2,2
6,1,2,3,1,2
6,1,2,3,2,2
6,1,2,4,1,2
6,1,2,4,2,2
6,1,3,1,1,1
6,1,3,1,2,1
6,1,3,2,1,2
6,1,3,2,2,2
6,1,3,3,1,2
6,1,3,3,2,2
6,1,3,4,1,2
6,1,3,4,2,2
6,2,1,1,1,1
6,2,1,1,2,1
6,2,1,2,1,2
6,2,1,2,2,2
6,2,1,3,1,2
6,2,1,3,2,2
6,2,1,4,1,2
6,2,1,4,2,2
6,2,2,1,1,1
6,2,2,1,2,1
6,2,2,2,1,2
6,2,2,2,2,2
6,2,2,3,1,2
6,2,2,3,2,2
6,2,2,4,1,2
6,2,2,4,2,2
6,2,3,1,1,1
6,2,3,1,2,1
6,2,3,2,1,2
6,2,3,2,2,2
6,2,3,3,1,2
6,2,3,3,2,2
6,2,3,4,1,2
6,2,3,4,2,2
7,1,1,1,1,1
7,1,1,1,2,1
7,1,1,2,1,2
7,1,1,2,2,2
7,1,1,3,1,2
7,1,1,3,2,2
7,1,1,4,1,2
7,1,1,4,2,2
7,1,2,1,1,1
7,1,2,1,2,1
7,1,2,2,1,2
7,1,2,2,2,2
7,1,2,3,1,2
7,1,2,3,2,2
7,1,2,4,1,2
7,1,2,4,2,2
7,1,3,1,1,1
7,1,3,1,2,1
7,1,3,2,1,2
7,1,3,2,2,2
7,1,3,3,1,2
7,1,3,3,2,2
7,1,3,4,1,2
7,1,3,4,2,2
7,2,1,1,1,1
7,2,1,1,2,1
7,2,1,2,1,2
7,2,1,2,2,2
7,2,1,3,1,2
7,2,1,3,2,2
7,2,1,4,1,2
7,2,1,4,2,2
7,2,2,1,1,1
7,2,2,1,2,1
7,2,2,2,1,2
7,2,2,2,2,2
7,2,2,3,1,2
7,2,2,3,2,2
7,2,2,4,1,2
7,2,2,4,2,2
7,2,3,1,1,1
7,2,3,1,2,1
7,2,3,2,1,2
7,2,3,2,2,2
7,2,3,3,1,2
7,2,3,3,2,2
7,2,3,4,1,2
7,2,3,4,2,2
8,1,1,1,1,1
8,1,1,1,2,1
8,1,1,2,1,2
8,1,1,2,2,2
8,1,1,3,1,2
8,1,1,3,2,2
8,1,1,4,1,2
8,1,1,4,2,2
8,1,2,1,1,1
8,1,2,1,2,1
8,1,2,2,1,2
8,1,2,2,2,2
8,1,2,3,1,2
8,1,2,3,2,2
8,1,2,4,1,2
8,1,2,4,2,2
8,1,3,1,1,1
8,1,3,1,2,1
8,1,3,2,1,2
8,1,3,2,2,2
8,1,3,3,1,2
8,1,3,3,2,2
8,1,3,4,1,2
8,1,3,4,2,2
8,2,1,1,1,1
8,2,1,1,2,1
8,2,1,2,1,2
8,2,1,2,2,2
8,2,1,3,1,2
8,2,1,3,2,2
8,2,1,4,1,2
8,2,1,4,2,2
8,2,2,1,1,1
8,2,2,1,2,1
8,2,2,2,1,2
8,2,2,2,2,2
8,2,2,3,1,2
8,2,2,3,2,2
8,2,2,4,1,2
8,2,2,4,2,2
8,2,3,1,1,1
8,2,3,1,2,1
8,2,3,2,1,2
8,2,3,2,2,2
8,2,3,3,1,2
8,2,3,3,2,2
8,2,3,4,1,2
8,2,3,4,2,2
9,1,1,1,1,1
9,1,1,1,2,1
9,1,1,2,1,1
9,1,1,2,2,1
9,1,1,3,1,1
9,1,1,3,2,1
9,1,1,4,1,1
9,1,1,4,2,1
9,1,2,1,1,1
9,1,2,1,2,1
9,1,2,2,1,1
9,1,2,2,2,1
9,1,2,3,1,1
9,1,2,3,2,1
9,1,2,4,1,1
9,1,2,4,2,1
9,1,3,1,1,1
9,1,3,1,2,1
9,1,3,2,1,1
9,1,3,2,2,1
9,1,3,3,1,1
9,1,3,3,2,1
9,1,3,4,1,1
9,1,3,4,2,1
9,2,1,1,1,1
9,2,1,1,2,1
9,2,1,2,1,1
9,2,1,2,2,1
9,2,1,3,1,1
9,2,1,3,2,1
9,2,1,4,1,1
9,2,1,4,2,1
9,2,2,1,1,1
9,2,2,1,2,1
9,2,2,2,1,1
9,2,2,2,2,1
9,2,2,3,1,1
9,2,2,3,2,1
9,2,2,4,1,1
9,2,2,4,2,1
9,2,3,1,1,1
9,2,3,1,2,1
9,2,3,2,1,1
9,2,3,2,2,1
9,2,3,3,1,1
9,2,3,3,2,1
9,2,3,4,1,1
9,2,3,4,2,1
