@relation monk3_cross

@attribute att1 {1,2,3,4,5,6,7,8,9}
@attribute att2 {1,2,3}
@attribute att3 {1,2,3}
@attribute att4 {1,2}
@attribute att5 {1,2,3}
@attribute att6 {1,2,3,4}
@attribute att7 {2,1}
@attribute att8 {1,2}

@data
1,1,1,1,1,1,2,1
1,1,1,1,1,2,1,1
1,1,1,1,1,2,2,1
1,1,1,1,1,3,1,1
1,1,1,1,1,3,2,1
1,1,1,1,1,4,1,2
1,1,1,1,1,4,2,2
1,1,1,1,2,1,1,1
1,1,1,1,2,1,2,1
1,1,1,1,2,2,1,1
1,1,1,1,2,2,2,1
1,1,1,1,2,3,1,1
1,1,1,1,2,3,2,1
1,1,1,1,2,4,1,2
1,1,1,1,2,4,2,2
1,1,1,1,3,1,1,1
1,1,1,1,3,1,2,1
1,1,1,1,3,2,1,1
1,1,1,1,3,2,2,1
1,1,1,1,3,3,1,1
1,1,1,1,3,3,2,1
1,1,1,1,3,4,1,2
1,1,1,1,3,4,2,2
1,1,1,2,1,1,1,1
1,1,1,2,1,1,2,1
1,1,1,2,1,2,1,1
1,1,1,2,1,2,2,1
1,1,1,2,1,3,1,1
1,1,1,2,1,3,2,1
1,1,1,2,1,4,1,2
1,1,1,2,1,4,2,2
1,1,1,2,2,1,1,1
1,1,1,2,2,1,2,1
1,1,1,2,2,2,1,1
1,1,1,2,2,2,2,1
1,1,1,2,2,3,1,1
1,1,1,2,2,3,2,1
1,1,1,2,2,4,1,2
1,1,1,2,2,4,2,2
1,1,1,2,3,1,1,1
1,1,1,2,3,1,2,1
1,1,1,2,3,2,1,1
1,1,1,2,3,2,2,1
1,1,1,2,3,3,1,1
1,1,1,2,3,3,2,1
1,1,1,2,3,4,1,2
1,1,1,2,3,4,2,2
2,1,2,1,1,1,1,1
2,1,2,1,1,1,2,1
2,1,2,1,1,2,1,1
2,1,2,1,1,2,2,1
2,1,2,1,1,3,1,1
2,1,2,1,1,3,2,1
2,1,2,1,1,4,1,2
2,1,2,1,1,4,2,2
2,1,2,1,2,1,1,1
2,1,2,1,2,1,2,1
2,1,2,1,2,2,1,1
2,1,2,1,2,2,2,1
2,1,2,1,2,3,1,1
2,1,2,1,2,3,2,1
2,1,2,1,2,4,1,2
2,1,2,1,2,4,2,2
2,1,2,1,3,1,1,1
2,1,2,1,3,1,2,1
2,1,2,1,3,2,1,1
2,1,2,1,3,2,2,1
2,1,2,1,3,3,1,1
2,1,2,1,3,3,2,1
2,1,2,1,3,4,1,2
2,1,2,1,3,4,2,2
2,1,2,2,1,1,1,1
2,1,2,2,1,1,2,1
2,1,2,2,1,2,1,1
2,1,2,2,1,2,2,1
2,1,2,2,1,3,1,1
2,1,2,2,1,3,2,1
2,1,2,2,1,4,1,2
2,1,2,2,1,4,2,2
2,1,2,2,2,1,1,1
2,1,2,2,2,1,2,1
2,1,2,2,2,2,1,1
2,1,2,2,2,2,2,1
2,1,2,2,2,3,1,1
2,1,2,2,2,3,2,1
2,1,2,2,2,4,1,2
2,1,2,2,2,4,2,2
2,1,2,2,3,1,1,1
2,1,2,2,3,1,2,1
2,1,2,2,3,2,1,1
2,1,2,2,3,2,2,1
2,1,2,2,3,3,1,1
2,1,2,2,3,3,2,1
2,1,2,2,3,4,1,2
2,1,2,2,3,4,2,2
3,1,3,1,1,1,1,2
3,1,3,1,1,1,2,2
3,1,3,1,1,2,1,2
3,1,3,1,1,2,2,2
3,1,3,1,1,3,1,1
3,1,3,1,1,3,2,1
3,1,3,1,1,4,1,2
3,1,3,1,1,4,2,2
3,1,3,1,2,1,1,2
3,1,3,1,2,1,2,2
3,1,3,1,2,2,1,2
3,1,3,1,2,2,2,2
3,1,3,1,2,3,1,2
3,1,3,1,2,3,2,2
3,1,3,1,2,4,1,2
3,1,3,1,2,4,2,2
3,1,3,1,3,1,1,2
3,1,3,1,3,1,2,2
3,1,3,1,3,2,1,2
3,1,3,1,3,2,2,2
3,1,3,1,3,3,1,2
3,1,3,1,3,3,2,2
3,1,3,1,3,4,1,2
3,1,3,1,3,4,2,2
3,1,3,2,1,1,1,2
3,1,3,2,1,1,2,2
3,1,3,2,1,2,1,2
3,1,3,2,1,2,2,2
3,1,3,2,1,3,1,1
3,1,3,2,1,3,2,1
3,1,3,2,1,4,1,2
3,1,3,2,1,4,2,2
3,1,3,2,2,1,1,2
3,1,3,2,2,1,2,2
3,1,3,2,2,2,1,2
3,1,3,2,2,2,2,2
3,1,3,2,2,3,1,2
3,1,3,2,2,3,2,2
3,1,3,2,2,4,1,2
3,1,3,2,2,4,2,2
3,1,3,2,3,1,1,2
3,1,3,2,3,1,2,2
3,1,3,2,3,2,1,2
3,1,3,2,3,2,2,2
3,1,3,2,3,3,1,2
3,1,3,2,3,3,2,2
3,1,3,2,3,4,1,2
3,1,3,2,3,4,2,2
4,2,1,1,1,1,1,1
4,2,1,1,1,1,2,1
4,2,1,1,1,2,1,1
4,2,1,1,1,2,2,1
4,2,1,1,1,3,1,1
4,2,1,1,1,3,2,1
4,2,1,1,1,4,1,2
4,2,1,1,1,4,2,2
4,2,1,1,2,1,1,1
4,2,1,1,2,1,2,1
4,2,1,1,2,2,1,1
4,2,1,1,2,2,2,1
4,2,1,1,2,3,1,1
4,2,1,1,2,3,2,1
4,2,1,1,2,4,1,2
4,2,1,1,2,4,2,2
4,2,1,1,3,1,1,1
4,2,1,1,3,1,2,1
4,2,1,1,3,2,1,1
4,2,1,1,3,2,2,1
4,2,1,1,3,3,1,1
4,2,1,1,3,3,2,1
4,2,1,1,3,4,1,2
4,2,1,1,3,4,2,2
4,2,1,2,1,1,1,1
4,2,1,2,1,1,2,1
4,2,1,2,1,2,1,1
4,2,1,2,1,2,2,1
4,2,1,2,1,3,1,1
4,2,1,2,1,3,2,1
4,2,1,2,1,4,1,2
4,2,1,2,1,4,2,2
4,2,1,2,2,1,1,1
4,2,1,2,2,1,2,1
4,2,1,2,2,2,1,1
4,2,1,2,2,2,2,1
4,2,1,2,2,3,1,1
4,2,1,2,2,3,2,1
4,2,1,2,2,4,1,2
4,2,1,2,2,4,2,2
4,2,1,2,3,1,1,1
4,2,1,2,3,1,2,1
4,2,1,2,3,2,1,1
4,2,1,2,3,2,2,1
4,2,1,2,3,3,1,1
4,2,1,2,3,3,2,1
4,2,1,2,3,4,1,2
4,2,1,2,3,4,2,2
5,2,2,1,1,1,1,1
5,2,2,1,1,1,2,1
5,2,2,1,1,2,1,1
5,2,2,1,1,2,2,1
5,2,2,1,1,3,1,1
5,2,2,1,1,3,2,1
5,2,2,1,1,4,1,2
5,2,2,1,1,4,2,2
5,2,2,1,2,1,1,1
5,2,2,1,2,1,2,1
5,2,2,1,2,2,1,1
5,2,2,1,2,2,2,1
5,2,2,1,2,3,1,1
5,2,2,1,2,3,2,1
5,2,2,1,2,4,1,2
5,2,2,1,2,4,2,2
5,2,2,1,3,1,1,1
5,2,2,1,3,1,2,1
5,2,2,1,3,2,1,1
5,2,2,1,3,2,2,1
5,2,2,1,3,3,1,1
5,2,2,1,3,3,2,1
5,2,2,1,3,4,1,2
5,2,2,1,3,4,2,2
5,2,2,2,1,1,1,1
5,2,2,2,1,1,2,1
5,2,2,2,1,2,1,1
5,2,2,2,1,2,2,1
5,2,2,2,1,3,1,1
5,2,2,2,1,3,2,1
5,2,2,2,1,4,1,2
5,2,2,2,1,4,2,2
5,2,2,2,2,1,1,1
5,2,2,2,2,1,2,1
5,2,2,2,2,2,1,1
5,2,2,2,2,2,2,1
5,2,2,2,2,3,1,1
5,2,2,2,2,3,2,1
5,2,2,2,2,4,1,2
5,2,2,2,2,4,2,2
5,2,2,2,3,1,1,1
5,2,2,2,3,1,2,1
