@relation monk3_local

@attribute att1 {1,2}
@attribute att2 {2,1}
@attribute att3 {2,1}
@attribute att4 {1,2}
@attribute att5 {2,1}
@attribute att6 {2,1}
@attribute att7 {1,2}
@attribute att8 {2,1}
@attribute att9 {1,2}
@attribute att10 {2,1}
@attribute att11 {2,1}
@attribute att12 {1,2}
@attribute att13 {2,1}
@attribute att14 {2,1}
@attribute att15 {2,1}
@attribute att16 {2,1}
@attribute att17 {1,2}
@attribute att18 {1,2}

@data
1,2,2,1,2,2,1,2,1,2,2,1,2,2,2,2,1,1
1,2,2,1,2,2,1,2,1,2,2,2,1,2,2,1,2,1
1,2,2,1,2,2,1,2,1,2,2,2,1,2,2,2,1,1
1,2,2,1,2,2,1,2,1,2,2,2,2,1,2,1,2,1
1,2,2,1,2,2,1,2,1,2,2,2,2,1,2,2,1,1
1,2,2,1,2,2,1,2,1,2,2,2,2,2,1,1,2,2
1,2,2,1,2,2,1,2,1,2,2,2,2,2,1,2,1,2
1,2,2,1,2,2,1,2,2,1,2,1,2,2,2,1,2,1
1,2,2,1,2,2,1,2,2,1,2,1,2,2,2,2,1,1
1,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,1
1,2,2,1,2,2,1,2,2,1,2,2,1,2,2,2,1,1
1,2,2,1,2,2,1,2,2,1,2,2,2,1,2,1,2,1
1,2,2,1,2,2,1,2,2,1,2,2,2,1,2,2,1,1
1,2,2,1,2,2,1,2,2,1,2,2,2,2,1,1,2,2
1,2,2,1,2,2,1,2,2,1,2,2,2,2,1,2,1,2
1,2,2,1,2,2,1,2,2,2,1,1,2,2,2,1,2,1
1,2,2,1,2,2,1,2,2,2,1,1,2,2,2,2,1,1
1,2,2,1,2,2,1,2,2,2,1,2,1,2,2,1,2,1
1,2,2,1,2,2,1,2,2,2,1,2,1,2,2,2,1,1
1,2,2,1,2,2,1,2,2,2,1,2,2,1,2,1,2,1
1,2,2,1,2,2,1,2,2,2,1,2,2,1,2,2,1,1
1,2,2,1,2,2,1,2,2,2,1,2,2,2,1,1,2,2
1,2,2,1,2,2,1,2,2,2,1,2,2,2,1,2,1,2
1,2,2,1,2,2,2,1,1,2,2,1,2,2,2,1,2,1
1,2,2,1,2,2,2,1,1,2,2,1,2,2,2,2,1,1
1,2,2,1,2,2,2,1,1,2,2,2,1,2,2,1,2,1
1,2,2,1,2,2,2,1,1,2,2,2,1,2,2,2,1,1
1,2,2,1,2,2,2,1,1,2,2,2,2,1,2,1,2,1
1,2,2,1,2,2,2,1,1,2,2,2,2,1,2,2,1,1
1,2,2,1,2,2,2,1,1,2,2,2,2,2,1,1,2,2
1,2,2,1,2,2,2,1,1,2,2,2,2,2,1,2,1,2
1,2,2,1,2,2,2,1,2,1,2,1,2,2,2,1,2,1
1,2,2,1,2,2,2,1,2,1,2,1,2,2,2,2,1,1
1,2,2,1,2,2,2,1,2,1,2,2,1,2,2,1,2,1
1,2,2,1,2,2,2,1,2,1,2,2,1,2,2,2,1,1
1,2,2,1,2,2,2,1,2,1,2,2,2,1,2,1,2,1
1,2,2,1,2,2,2,1,2,1,2,2,2,1,2,2,1,1
1,2,2,1,2,2,2,1,2,1,2,2,2,2,1,1,2,2
1,2,2,1,2,2,2,1,2,1,2,2,2,2,1,2,1,2
1,2,2,1,2,2,2,1,2,2,1,1,2,2,2,1,2,1
1,2,2,1,2,2,2,1,2,2,1,1,2,2,2,2,1,1
1,2,2,1,2,2,2,1,2,2,1,2,1,2,2,1,2,1
1,2,2,1,2,2,2,1,2,2,1,2,1,2,2,2,1,1
1,2,2,1,2,2,2,1,2,2,1,2,2,1,2,1,2,1
1,2,2,1,2,2,2,1,2,2,1,2,2,1,2,2,1,1
1,2,2,1,2,2,2,1,2,2,1,2,2,2,1,1,2,2
1,2,2,1,2,2,2,1,2,2,1,2,2,2,1,2,1,2
1,2,2,2,1,2,1,2,1,2,2,1,2,2,2,1,2,1
1,2,2,2,1,2,1,2,1,2,2,1,2,2,2,2,1,1
1,2,2,2,1,2,1,2,1,2,2,2,1,2,2,1,2,1
1,2,2,2,1,2,1,2,1,2,2,2,1,2,2,2,1,1
1,2,2,2,1,2,1,2,1,2,2,2,2,1,2,1,2,1
1,2,2,2,1,2,1,2,1,2,2,2,2,1,2,2,1,1
1,2,2,2,1,2,1,2,1,2,2,2,2,2,1,1,2,2
1,2,2,2,1,2,1,2,1,2,2,2,2,2,1,2,1,2
1,2,2,2,1,2,1,2,2,1,2,1,2,2,2,1,2,1
1,2,2,2,1,2,1,2,2,1,2,1,2,2,2,2,1,1
1,2,2,2,1,2,1,2,2,1,2,2,1,2,2,1,2,1
1,2,2,2,1,2,1,2,2,1,2,2,1,2,2,2,1,1
1,2,2,2,1,2,1,2,2,1,2,2,2,1,2,1,2,1
1,2,2,2,1,2,1,2,2,1,2,2,2,1,2,2,1,1
1,2,2,2,1,2,1,2,2,1,2,2,2,2,1,1,2,2
1,2,2,2,1,2,1,2,2,1,2,2,2,2,1,2,1,2
1,2,2,2,1,2,1,2,2,2,1,1,2,2,2,1,2,1
1,2,2,2,1,2,1,2,2,2,1,1,2,2,2,2,1,1
1,2,2,2,1,2,1,2,2,2,1,2,1,2,2,1,2,1
1,2,2,2,1,2,1,2,2,2,1,2,1,2,2,2,1,1
