@relation nursery

@attribute att1 {1,2,3}
@attribute att2 {1,2,3,4,5}
@attribute att3 {1,2,3,4}
@attribute att4 {1,2,3,4}
@attribute att5 {1,2,3}
@attribute att6 {1,2}
@attribute att7 {1,2,3}
@attribute att8 {2,3,1}
@attribute att9 {4,1,2,3,5}

@data
1,1,1,1,1,1,1,2,4
1,1,1,1,1,1,1,3,1
1,1,1,1,1,1,2,1,2
1,1,1,1,1,1,2,2,4
1,1,1,1,1,1,2,3,1
1,1,1,1,1,1,3,1,4
1,1,1,1,1,1,3,2,4
1,1,1,1,1,1,3,3,1
1,1,1,1,1,2,1,1,3
1,1,1,1,1,2,1,2,4
1,1,1,1,1,2,1,3,1
1,1,1,1,1,2,2,1,3
1,1,1,1,1,2,2,2,4
1,1,1,1,1,2,2,3,1
1,1,1,1,1,2,3,1,4
1,1,1,1,1,2,3,2,4
1,1,1,1,1,2,3,3,1
1,1,1,1,2,1,1,1,3
1,1,1,1,2,1,1,2,4
1,1,1,1,2,1,1,3,1
1,1,1,1,2,1,2,1,3
1,1,1,1,2,1,2,2,4
1,1,1,1,2,1,2,3,1
1,1,1,1,2,1,3,1,4
1,1,1,1,2,1,3,2,4
1,1,1,1,2,1,3,3,1
1,1,1,1,2,2,1,1,3
1,1,1,1,2,2,1,2,4
1,1,1,1,2,2,1,3,1
1,1,1,1,2,2,2,1,3
1,1,1,1,2,2,2,2,4
1,1,1,1,2,2,2,3,1
1,1,1,1,2,2,3,1,4
1,1,1,1,2,2,3,2,4
1,1,1,1,2,2,3,3,1
1,1,1,1,3,1,1,1,3
1,1,1,1,3,1,1,2,4
1,1,1,1,3,1,1,3,1
1,1,1,1,3,1,2,1,3
1,1,1,1,3,1,2,2,4
1,1,1,1,3,1,2,3,1
1,1,1,1,3,1,3,1,4
1,1,1,1,3,1,3,2,4
1,1,1,1,3,1,3,3,1
1,1,1,1,3,2,1,1,3
1,1,1,1,3,2,1,2,4
1,1,1,1,3,2,1,3,1
1,1,1,1,3,2,2,1,3
1,1,1,1,3,2,2,2,4
1,1,1,1,3,2,2,3,1
1,1,1,1,3,2,3,1,4
1,1,1,1,3,2,3,2,4
1,1,1,1,3,2,3,3,1
1,1,1,2,1,1,1,1,3
1,1,1,2,1,1,1,2,4
1,1,1,2,1,1,1,3,1
1,1,1,2,1,1,2,1,3
1,1,1,2,1,1,2,2,4
1,1,1,2,1,1,2,3,1
1,1,1,2,1,1,3,1,4
1,1,1,2,1,1,3,2,4
