@relation soybean_large

@attribute att1 {4,3,6,5,1,7,2}
@attribute att2 {2,1}
@attribute att3 {2,3,1}
@attribute att4 {1,2,3}
@attribute att5 {2,1}
@attribute att6 {2,1,3,4}
@attribute att7 {4,3,2,1}
@attribute att8 {2,1,3}
@attribute att9 {1,3,2}
@attribute att10 {1,2,3}
@attribute att11 {1,2}
@attribute att12 {1,2}
@attribute att13 {3,2,1}
@attribute att14 {2,3,1}
@attribute att15 {2,1,3}
@attribute att16 {2,1}
@attribute att17 {2,1}
@attribute att18 {3,1,2}
@attribute att19 {1,2}
@attribute att20 {2,1}
@attribute att21 {3,4,1,2}
@attribute att22 {1,4,3,2}
@attribute att23 {1,2}
@attribute att24 {1,3,2}
@attribute att25 {2,1}
@attribute att26 {3,2,1}
@attribute att27 {2,1}
@attribute att28 {4,3,1,2}
@attribute att29 {4,3,1,2}
@attribute att30 {2,1}
@attribute att31 {2,1}
@attribute att32 {2,1}
@attribute att33 {2,1}
@attribute att34 {2,1}
@attribute att35 {3,1,2}
@attribute att36 {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35}

@data
4,2,2,1,2,2,4,2,1,1,1,1,3,2,2,2,2,3,1,2,3,1,1,1,2,3,2,4,4,2,2,2,2,2,3,1
3,2,2,1,2,1,4,2,1,2,1,1,3,2,2,2,2,3,1,2,3,4,1,1,2,3,2,4,4,2,2,2,2,2,3,1
3,2,2,1,2,1,4,2,3,1,1,1,3,2,2,2,2,3,1,2,3,4,1,1,2,3,2,4,4,2,2,2,2,2,3,1
6,2,2,1,2,2,4,1,3,2,1,1,3,2,2,2,2,3,1,2,3,1,1,1,2,3,2,4,4,2,2,2,2,2,3,1
5,2,2,1,2,3,4,1,3,1,1,1,3,2,2,2,2,3,1,2,3,4,1,1,2,3,2,4,4,2,2,2,2,2,3,1
5,2,2,1,2,2,4,1,1,3,1,1,3,2,2,2,2,3,1,1,3,1,1,1,2,3,2,4,4,2,2,2,2,2,3,1
4,2,2,1,1,1,4,1,3,2,1,1,3,2,2,2,2,3,1,2,3,1,1,1,2,3,2,4,4,2,2,2,2,2,3,1
6,2,2,1,2,3,4,1,1,1,1,1,3,2,2,2,2,3,1,2,3,1,1,1,2,3,2,4,4,2,2,2,2,2,3,1
4,2,2,1,2,2,4,2,3,2,1,1,3,2,2,2,2,3,1,2,3,1,1,1,2,3,2,4,4,2,2,2,2,2,3,1
6,2,3,2,2,1,3,1,1,3,1,1,3,2,2,2,2,3,1,2,4,3,2,3,2,2,1,4,4,2,2,2,2,2,3,2
4,2,3,1,1,1,3,1,1,1,1,1,3,2,2,2,2,3,1,1,4,3,2,3,2,2,1,4,4,2,2,2,2,2,3,2
3,2,3,1,2,1,2,1,3,3,1,1,3,2,2,2,2,3,1,2,4,3,2,3,2,2,1,4,4,2,2,2,2,2,3,2
6,2,3,1,1,3,3,1,1,3,1,1,3,2,2,2,2,3,1,2,4,3,2,3,2,2,1,4,4,2,2,2,2,2,3,2
6,2,3,2,2,1,3,1,1,1,1,1,3,2,2,2,2,3,1,2,4,3,2,3,2,2,1,4,4,2,2,2,2,2,3,2
5,2,3,2,1,3,3,1,1,2,1,1,3,2,2,2,2,3,1,2,4,3,2,3,2,2,1,4,4,2,2,2,2,2,3,2
6,2,3,2,1,4,2,1,3,3,1,1,3,2,2,2,2,3,1,1,4,3,2,3,2,2,1,4,4,2,2,2,2,2,3,2
4,2,3,1,2,2,2,1,3,1,1,1,3,2,2,2,2,3,1,2,4,3,2,3,2,2,1,4,4,2,2,2,2,2,3,2
3,2,3,2,2,2,2,1,3,2,1,1,3,2,2,2,2,3,1,2,4,3,2,3,2,2,1,4,4,2,2,2,2,2,3,2
5,2,3,2,1,2,2,1,3,2,1,1,3,2,2,2,2,3,1,2,4,3,2,3,2,2,1,4,4,2,2,2,2,2,3,2
1,1,2,3,2,2,1,2,3,2,1,2,3,2,2,2,2,3,1,2,1,1,2,1,1,3,2,3,4,2,2,2,2,2,3,3
1,1,2,3,2,1,1,2,3,1,1,2,3,2,2,2,2,3,1,2,1,1,2,1,2,3,2,3,4,2,2,2,2,2,3,3
3,2,2,3,1,3,1,2,3,1,1,2,3,2,2,2,2,3,1,1,1,1,2,1,1,3,2,3,4,2,2,2,2,2,3,3
7,1,2,3,2,4,1,1,1,2,1,2,3,2,2,2,2,3,1,2,1,1,2,1,2,3,2,3,4,2,2,2,2,2,3,3
7,1,2,3,2,1,1,2,1,2,1,2,3,2,2,2,2,3,1,2,1,1,2,1,2,3,2,3,4,2,2,2,2,2,3,3
1,1,2,3,2,3,1,2,3,2,1,2,3,2,2,2,2,3,1,2,1,1,2,1,2,3,2,3,4,2,2,2,2,2,3,3
1,1,2,3,2,4,1,1,3,1,1,2,3,2,2,2,2,3,1,2,1,1,2,1,2,3,2,3,4,2,2,2,2,2,3,3
2,1,2,3,2,2,1,1,3,1,1,2,3,2,2,2,2,3,1,2,1,1,2,1,2,3,2,3,4,2,2,2,2,2,3,3
1,1,2,3,2,1,1,2,3,2,1,2,3,2,2,2,2,3,1,2,1,1,2,1,2,3,2,3,4,2,2,2,2,2,3,3
2,1,2,3,2,1,1,2,3,2,1,2,3,2,2,2,2,3,1,2,1,1,2,1,2,3,2,3,4,2,2,2,2,2,3,3
7,1,2,1,1,1,1,1,3,3,1,1,3,2,2,2,2,3,1,2,1,2,2,1,2,3,2,3,4,2,2,2,2,2,3,4
1,1,2,1,?,3,1,?,?,?,1,1,3,2,2,2,2,3,1,?,2,2,?,3,2,3,2,?,?,?,?,?,?,?,1,4
2,1,2,2,?,2,1,?,?,?,1,1,?,?,?,?,?,?,1,?,3,2,?,3,2,3,2,?,?,?,?,?,?,?,1,4
1,1,2,3,2,2,1,2,1,1,1,1,3,2,2,2,2,3,1,2,2,2,2,3,2,3,2,3,4,2,2,2,2,2,3,4
2,1,2,2,?,2,1,?,?,?,1,1,?,?,?,?,?,?,1,?,2,2,?,3,2,3,2,?,?,?,?,?,?,?,1,4
3,1,2,1,?,2,1,?,?,?,1,1,?,?,?,?,?,?,1,?,3,2,?,3,2,3,2,?,?,?,?,?,?,?,1,4
7,1,1,1,2,1,1,1,3,3,1,1,3,2,2,2,2,3,1,2,1,2,2,3,2,3,2,3,4,2,2,2,2,2,3,4
3,1,2,3,2,2,1,2,1,1,1,1,3,2,2,2,2,3,1,2,2,2,2,3,2,3,2,3,4,2,2,2,2,2,3,4
2,1,1,1,?,4,1,?,?,?,1,1,3,2,2,2,2,3,1,?,2,2,?,3,2,3,2,?,?,?,?,?,?,?,1,4
2,1,2,3,2,1,1,2,3,1,1,1,3,2,2,2,2,3,1,2,1,2,2,3,2,3,2,3,4,2,2,2,2,2,3,4
2,1,2,1,?,1,1,?,?,?,1,1,3,2,2,2,2,3,1,?,2,2,?,3,2,3,2,?,?,?,?,?,?,?,1,4
1,1,2,1,?,1,1,?,?,?,1,1,?,?,?,?,?,?,1,?,1,2,?,3,2,3,2,?,?,?,?,?,?,?,1,4
7,1,2,1,2,3,1,1,3,3,1,1,3,2,2,2,2,3,1,2,1,2,2,3,2,3,2,3,4,2,2,2,2,2,3,4
7,1,1,1,1,2,1,2,1,3,1,1,3,2,2,2,2,3,1,1,2,2,2,1,2,3,2,3,4,2,2,2,2,2,3,4
3,1,2,3,2,1,1,2,1,3,1,1,3,2,2,2,2,3,1,2,2,2,2,3,2,3,2,3,4,2,2,2,2,2,3,4
2,1,2,2,?,3,1,?,?,?,1,1,?,?,?,?,?,?,1,?,3,2,?,3,2,3,2,?,?,?,?,?,?,?,1,4
7,1,2,1,2,2,1,1,3,1,1,1,3,2,2,2,2,3,1,2,1,2,2,3,2,3,2,3,4,2,2,2,2,2,3,4
2,1,1,2,?,2,1,?,?,?,1,1,3,2,2,2,2,3,1,?,2,2,?,3,2,3,2,?,?,?,?,?,?,?,1,4
2,1,2,1,1,1,1,2,3,2,1,1,3,2,2,2,2,3,1,2,1,2,2,1,2,3,2,3,4,2,2,2,2,2,3,4
7,1,2,1,2,3,1,1,3,2,1,1,3,2,2,2,2,3,1,2,1,2,2,3,2,3,2,3,4,2,2,2,2,2,3,4
