@relation xd6

@attribute att1 {1,2}
@attribute att2 {2,1}
@attribute att3 {1,2}
@attribute att4 {1,2}
@attribute att5 {2,1}
@attribute att6 {1,2}
@attribute att7 {1,2}
@attribute att8 {1,2}
@attribute att9 {1,2}
@attribute att10 {1,2}

@data
1,2,1,1,2,1,1,1,1,1
2,2,1,2,1,2,2,1,2,2
1,1,1,2,2,2,1,1,1,1
1,1,1,1,2,2,2,2,1,1
1,1,1,2,1,2,1,2,2,1
2,2,1,1,1,1,1,1,2,1
2,2,1,2,2,1,1,1,1,1
2,2,2,1,1,1,2,1,2,1
1,1,2,1,2,2,2,1,2,2
1,2,1,1,2,1,2,2,1,2
2,1,1,2,2,2,2,2,2,2
2,2,1,1,2,1,1,1,1,1
2,1,2,1,2,1,2,2,2,2
2,1,2,2,2,2,1,2,2,2
2,1,1,1,1,2,2,1,1,2
1,2,2,1,1,1,1,1,2,1
1,2,1,2,2,1,2,2,2,2
1,1,1,1,2,2,1,2,1,1
1,1,2,2,1,1,1,2,2,2
1,2,1,2,1,1,2,1,1,2
1,1,2,2,2,2,1,2,1,2
1,2,1,2,2,1,2,2,1,2
1,1,2,2,2,1,2,1,1,2
1,1,1,2,1,2,2,2,1,1
1,1,2,2,1,2,2,1,1,2
2,1,2,1,1,2,1,2,1,2
2,2,2,2,1,1,1,2,2,2
1,2,2,2,1,2,2,2,1,2
1,1,2,1,1,2,2,1,1,2
2,1,2,1,2,2,2,2,2,2
1,2,1,2,2,1,1,1,1,1
2,2,2,1,1,2,2,1,1,2
2,2,2,1,2,2,2,2,1,2
1,2,2,1,1,2,2,1,2,2
2,2,1,2,1,1,2,1,2,2
1,2,1,1,1,1,1,1,2,1
1,1,1,2,2,2,1,1,2,1
2,1,2,1,2,1,2,1,2,2
2,1,2,1,1,1,1,2,2,1
1,1,2,1,2,2,2,2,1,2
1,2,2,2,2,1,2,2,1,2
2,1,2,2,2,1,2,2,1,2
1,2,2,2,2,1,1,1,2,2
1,1,2,2,2,1,2,2,2,2
2,1,1,1,1,2,2,2,2,2
2,2,1,2,2,2,1,2,2,2
1,2,1,2,1,1,2,2,2,2
2,2,2,2,1,1,2,1,1,2
1,2,2,2,2,2,2,2,1,2
1,1,2,1,1,2,1,2,1,2
1,1,1,2,1,2,2,2,2,1
1,1,1,1,2,2,1,1,2,1
1,1,2,1,1,1,1,2,2,1
2,2,1,2,2,2,1,1,1,1
2,1,1,1,1,2,1,1,1,1
1,1,1,2,1,1,2,2,1,1
2,1,1,1,1,2,1,2,2,2
1,2,1,1,1,2,2,1,2,2
2,2,1,1,2,2,1,1,1,1
1,1,1,1,1,1,1,1,2,1
2,1,1,1,1,1,2,1,1,1
2,1,2,2,1,2,1,1,2,2
2,1,1,2,1,2,2,1,2,2
1,1,2,2,1,1,2,1,1,2
2,2,1,1,1,2,2,1,2,2
1,2,1,1,1,2,2,2,1,2
2,2,2,2,1,2,1,2,2,2
1,2,1,2,1,1,1,2,2,2
2,2,2,1,2,2,1,2,1,2
2,2,1,2,1,1,2,2,2,2
1,2,1,2,2,1,1,1,2,2
1,2,2,1,2,2,2,2,1,2
1,2,1,1,1,2,2,2,2,2
2,2,1,1,2,1,1,2,1,2
2,1,1,2,1,2,2,1,1,2
1,1,1,1,2,2,2,1,2,1
1,1,1,2,1,2,2,1,2,1
2,1,1,2,2,1,1,1,1,1
2,1,2,2,1,2,2,2,2,2
1,1,2,1,1,1,2,2,2,1
1,2,1,1,2,1,1,2,1,2
1,2,1,2,2,2,1,2,1,2
2,2,1,1,2,1,1,2,2,2
2,2,1,1,1,2,2,2,2,2
2,2,1,2,1,2,2,2,2,2
2,2,2,2,2,1,1,1,1,1
2,2,1,2,2,1,2,2,1,2
