@relation InstanceResultListener

@attribute Key_Dataset {ecoli-weka.filters.unsupervised.instance.Randomize-S29-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.bayes.NaiveBayes,weka.classifiers.trees.LMT,weka.classifiers.trees.J48,weka.classifiers.bayes.BayesNet,weka.classifiers.trees.RandomForest}
@attribute Key_Scheme_options {'','-I -1 -M 15 -W 0.0','-C 0.25 -M 2','-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5','-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1'}
@attribute Key_Scheme_version_ID {5995231201785697655,-1113212459618104943,-217733168393644444,746037443258775954,1116839470751428698}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 46\nSize of the tree: 51\n','Number of leaves: 64\nSize of the tree: 71\n','Number of leaves: 55\nSize of the tree: 61\n','Number of leaves: 37\nSize of the tree: 41\n','Number of leaves: 28\nSize of the tree: 31\n','Number of leaves: 73\nSize of the tree: 81\n','Number of leaves: 82\nSize of the tree: 91\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric
@attribute measureExtraArcs numeric
@attribute measureMissingArcs numeric
@attribute measureReversedArcs numeric
@attribute measureDivergence numeric
@attribute measureBayesScore numeric
@attribute measureBDeuScore numeric
@attribute measureMDLScore numeric
@attribute measureAICScore numeric
@attribute measureEntropyScore numeric
@attribute measureOutOfBagError numeric

@data

ecoli-weka.filters.unsupervised.instance.Randomize-S29-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last,1,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170503.1745,201,23,18,5,0,78.26087,21.73913,0,0.705128,0.055862,0.175443,30.19714,57.613465,51.82727,14.402611,37.424658,2.25336,0.6262,1.627159,37.424658,1.627159,1654.571261,0.888889,8,0,0,1,14,0.111111,1,1,0.888889,0.941176,0.91084,1,1,0.782609,0.043796,0.956204,0.217391,0.731884,0.782609,0.744063,0.713846,0.988456,0.944203,0.508053,0.782609,0,0,0,0,0,0,11939,22940,6386,95.652174,23.369565,?,?,?,?,?,?,?,?,?,?,?,?,?,?
ecoli-weka.filters.unsupervised.instance.Randomize-S29-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last,1,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170503.1745,201,23,18,5,0,78.26087,21.73913,0,0.702073,0.062578,0.200795,33.817999,65.918166,52.412232,28.735035,23.677197,2.278793,1.249349,1.029443,34.286649,1.490724,1517.411144,1,9,0,0,1,14,0,0,1,1,1,1,1,1,0.782609,0.048125,0.951875,0.217391,0.733333,0.782609,0.754589,0.715378,0.92566,0.823145,0.492593,0.782609,0,0,0,0,0,0,11939,22940,6386,95.652174,22.282609,?,?,?,?,?,?,?,?,?,?,?,?,?,?
ecoli-weka.filters.unsupervised.instance.Randomize-S29-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last,1,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170503.1745,201,23,16,7,0,69.565217,30.434783,0,0.577428,0.076159,0.222588,40.893286,72.548698,53.556864,31.385524,22.17134,2.328559,1.364588,0.963971,32.346557,1.406372,1435.024601,0.888889,8,0.142857,2,0.857143,12,0.111111,1,0.8,0.888889,0.842105,0.734465,0.956349,0.919172,0.695652,0.110439,0.889561,0.304348,0.67205,0.695652,0.655606,0.58566,0.944508,0.861181,0.445906,0.695652,0,0,0,0,0,0,11939,22940,6386,86.956522,22.826087,?,?,?,?,?,?,?,?,?,?,?,?,?,?
ecoli-weka.filters.unsupervised.instance.Randomize-S29-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last,1,4,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170503.1745,201,23,20,3,0,86.956522,13.043478,0,0.822165,0.055964,0.163589,30.041086,53.302801,54.556864,16.500265,38.056599,2.372038,0.717403,1.654635,38.056599,1.654635,1691.054964,1,9,0,0,1,14,0,0,1,1,1,1,1,1,0.869565,0.030384,0.969616,0.130435,0.818841,0.869565,0.832411,0.822414,0.993122,0.973188,0.584848,0.869565,0.001,0,0,0,0,0,11939,22940,6386,95.652174,23.913043,?,?,?,?,?,?,?,?,?,?,?,?,?,?
ecoli-weka.filters.unsupervised.instance.Randomize-S29-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last,1,5,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170503.1745,202,22,14,8,0,63.636364,36.363636,0,0.498575,0.088664,0.251424,48.022157,82.743637,48.224266,28.847345,19.376921,2.192012,1.311243,0.880769,29.241843,1.329175,1289.3283,0.888889,8,0.153846,2,0.846154,11,0.111111,1,0.8,0.888889,0.842105,0.725797,0.957265,0.93769,0.636364,0.118383,0.881617,0.363636,0.645455,0.636364,0.62949,0.52859,0.918487,0.778298,0.571596,0.636364,0,0,0,0,0,0,11939,23033,6293,90.909091,20.454545,?,?,?,?,?,?,?,?,?,?,?,?,?,?
ecoli-weka.filters.unsupervised.instance.Randomize-S29-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last,1,6,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170503.1745,202,22,19,3,0,86.363636,13.636364,0,0.800604,0.051716,0.179632,28.494504,60.272667,46.206199,19.373744,26.832454,2.100282,0.880625,1.219657,34.873772,1.585171,1531.193582,1,10,0.083333,1,0.916667,11,0,0,0.909091,1,0.952381,0.912871,0.983333,0.980909,0.863636,0.058425,0.941575,0.136364,0.875344,0.863636,0.851633,0.825416,0.943649,0.859396,0.772294,0.863636,0,0,0,0,0,0,11939,23033,6293,95.454545,19.886364,?,?,?,?,?,?,?,?,?,?,?,?,?,?
ecoli-weka.filters.unsupervised.instance.Randomize-S29-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last,1,7,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170503.1745,202,22,18,4,0,81.818182,18.181818,0,0.741176,0.061377,0.184687,33.817946,61.968854,46.206199,13.216001,32.990197,2.100282,0.600727,1.499554,33.211775,1.509626,1458.220725,0.9,9,0,0,1,12,0.1,1,1,0.9,0.947368,0.911465,1,1,0.818182,0.047284,0.952716,0.181818,0.789773,0.818182,0.782936,0.755033,1,1,0.648082,0.818182,0,0.001,0,0,0,0,11939,23033,6293,100,21.590909,?,?,?,?,?,?,?,?,?,?,?,?,?,?
ecoli-weka.filters.unsupervised.instance.Randomize-S29-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last,1,8,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170503.1745,202,22,22,0,0,100,0,0,1,0.030212,0.090519,16.646351,30.372083,46.206199,4.557087,41.649111,2.100282,0.20714,1.893141,41.649111,1.893141,1828.676652,1,10,0,0,1,12,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,11939,23033,6293,100,19.886364,?,?,?,?,?,?,?,?,?,?,?,?,?,?
ecoli-weka.filters.unsupervised.instance.Randomize-S29-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last,1,9,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170503.1745,202,22,18,4,0,81.818182,18.181818,0,0.738872,0.060825,0.168956,33.423919,56.517856,48.214761,13.51826,34.696501,2.19158,0.614466,1.577114,34.696501,1.577114,1529.653536,1,10,0.083333,1,0.916667,11,0,0,0.909091,1,0.952381,0.912871,1,1,0.818182,0.06297,0.93703,0.181818,0.77686,0.818182,0.792208,0.749887,0.987032,0.941667,0.662698,0.818182,0,0,0,0,0,0,11939,23033,6293,100,26.136364,?,?,?,?,?,?,?,?,?,?,?,?,?,?
