@relation InstanceResultListener

@attribute Key_Dataset {ecoli-weka.filters.unsupervised.instance.Randomize-S29-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.bayes.BayesNet,weka.classifiers.bayes.NaiveBayes,weka.classifiers.trees.J48,weka.classifiers.trees.RandomForest,weka.classifiers.trees.LMT}
@attribute Key_Scheme_options {'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5','','-C 0.25 -M 2','-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1','-I -1 -M 15 -W 0.0'}
@attribute Key_Scheme_version_ID {746037443258775954,5995231201785697655,-217733168393644444,1116839470751428698,-1113212459618104943}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 27\nSize of the tree: 53\n','Number of leaves: 23\nSize of the tree: 45\n','Number of leaves: 31\nSize of the tree: 61\n','Number of leaves: 26\nSize of the tree: 51\n','Number of leaves: 28\nSize of the tree: 55\n','Number of leaves: 24\nSize of the tree: 47\n'}
@attribute measureExtraArcs numeric
@attribute measureMissingArcs numeric
@attribute measureReversedArcs numeric
@attribute measureDivergence numeric
@attribute measureBayesScore numeric
@attribute measureBDeuScore numeric
@attribute measureMDLScore numeric
@attribute measureAICScore numeric
@attribute measureEntropyScore numeric
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric
@attribute measureOutOfBagError numeric

@data

ecoli-weka.filters.unsupervised.instance.Randomize-S29-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1,1,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,20170503.1942,549,546,502,44,0,91.941392,8.058608,0,0.887188,0.02776,0.123835,15.35755,41.272508,1177.048857,198.21277,978.836088,2.155767,0.363027,1.79274,1036.3649,1.898104,47202.192325,0.987342,234,0.016181,5,0.983819,304,0.012658,3,0.979079,0.987342,0.983193,0.970234,0.997023,0.99612,0.919414,0.025139,0.974861,0.080586,0.91922,0.919414,0.915993,0.897342,0.990428,0.956238,0.888616,0.919414,0.001,0.003,0,0,0,0,14053,52647,52368,98.168498,16.117216,?,0,0,0,0,-3271.03671,-4024.124121,-3999.137801,-3553.249612,-3346.249612,?,?,?,?
ecoli-weka.filters.unsupervised.instance.Randomize-S29-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1,2,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,20170503.1942,548,547,511,36,0,93.418647,6.581353,0,0.907728,0.025741,0.112427,14.240525,37.484431,1178.291129,177.775127,1000.516002,2.154097,0.325,1.829097,1049.499081,1.918645,47762.323947,0.987395,235,0.029126,9,0.970874,300,0.012605,3,0.963115,0.987395,0.975104,0.955738,0.996125,0.993794,0.934186,0.024771,0.975229,0.065814,0.935113,0.934186,0.933149,0.914676,0.992429,0.974194,0.90582,0.934186,0.002,0.003,0,0,0,0,13528,52554,52461,98.537477,16.773309,?,0,0,0,0,-3178.480235,-3737.829912,-3733.038432,-3373.464445,-3206.464445,?,?,?,?
ecoli-weka.filters.unsupervised.instance.Randomize-S29-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1,3,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,20170503.1942,547,548,488,60,0,89.051095,10.948905,0,0.847247,0.029254,0.130984,16.18372,43.652927,1181.534609,219.324808,962.209801,2.156085,0.400228,1.755857,1025.252265,1.870898,46699.066147,0.945378,225,0.016129,5,0.983871,305,0.054622,13,0.978261,0.945378,0.961538,0.933306,0.994036,0.989385,0.890511,0.031962,0.968038,0.109489,0.897588,0.890511,0.884686,0.860118,0.988083,0.960641,0.862043,0.890511,0.002,0.003,0,0,0,0,14154,52461,52554,97.810219,16.012774,?,0,0,0,0,-3158.754817,-3947.624875,-3925.60842,-3462.880174,-3247.880174,?,?,?,?
ecoli-weka.filters.unsupervised.instance.Randomize-S29-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1,4,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,20170503.1942,548,547,519,28,0,94.88117,5.11883,0,0.929105,0.024491,0.106263,13.548938,35.422153,1179.537602,154.655177,1024.882425,2.156376,0.282733,1.873642,1066.903867,1.950464,48605.026813,0.970588,231,0.009709,3,0.990291,306,0.029412,7,0.987179,0.970588,0.978814,0.962845,0.997022,0.99583,0.948812,0.013364,0.986636,0.051188,0.949944,0.948812,0.94851,0.93341,0.994161,0.975564,0.922504,0.948812,0.002,0.003,0,0,0,0,13736,52554,52461,98.354662,16.384826,?,0,0,0,0,-3044.809383,-3679.398613,-3674.039453,-3280.015264,-3097.015264,?,?,?,?
ecoli-weka.filters.unsupervised.instance.Randomize-S29-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1,5,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,20170503.1942,547,548,511,37,0,93.248175,6.751825,0,0.905309,0.024473,0.104614,13.538991,34.820863,1187.972486,137.288491,1050.683995,2.167833,0.250526,1.917307,1072.430865,1.956991,49118.597432,1,237,0.025723,8,0.974277,303,0,0,0.967347,1,0.983402,0.970806,0.997056,0.995234,0.932482,0.025369,0.974631,0.067518,0.934355,0.932482,0.929826,0.914498,0.995085,0.980311,0.910396,0.932482,0.001,0.003,0,0,0,0,13843,52461,52554,98.905109,16.332117,?,0,0,0,0,-3400.556536,-4068.147209,-4053.193459,-3642.118599,-3451.118599,?,?,?,?
ecoli-weka.filters.unsupervised.instance.Randomize-S29-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1,6,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,20170503.1942,547,548,496,52,0,90.510949,9.489051,0,0.866485,0.028667,0.135081,15.859098,45.003503,1185.135074,239.744128,945.390946,2.162655,0.437489,1.725166,1009.399393,1.84197,46122.232581,0.995798,237,0.022581,7,0.977419,303,0.004202,1,0.971311,0.995798,0.983402,0.970616,0.997784,0.996751,0.905109,0.030193,0.969807,0.094891,0.907389,0.905109,0.899986,0.881577,0.98875,0.940544,0.853581,0.905109,0.003,0.005,0,0,0,0,13948,52461,52554,97.262774,16.468978,?,0,0,0,0,-3544.460079,-4243.060073,-4226.652997,-3798.360341,-3599.360341,?,?,?,?
ecoli-weka.filters.unsupervised.instance.Randomize-S29-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1,7,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,20170503.1942,546,549,509,40,0,92.714026,7.285974,0,0.898201,0.027981,0.124055,15.479424,41.30768,1189.19925,206.251999,982.947251,2.166119,0.375687,1.790432,1036.337039,1.887681,47427.574823,0.987395,235,0.019293,6,0.980707,305,0.012605,3,0.975104,0.987395,0.981211,0.966732,0.996413,0.994227,0.92714,0.023603,0.976397,0.07286,0.928287,0.92714,0.924692,0.907335,0.989536,0.960225,0.885202,0.92714,0.002,0.002,0.015625,0,15.625,0,14156,52368,52647,98.360656,16.302368,?,0,0,0,0,-3441.982864,-4229.882766,-4199.336464,-3736.804924,-3521.804924,?,?,?,?
ecoli-weka.filters.unsupervised.instance.Randomize-S29-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1,8,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,20170503.1942,547,548,511,37,0,93.248175,6.751825,0,0.905642,0.026351,0.113846,14.577559,37.928921,1185.135074,159.011625,1026.123449,2.162655,0.290167,1.872488,1050.945843,1.917784,48020.60407,0.991597,236,0.009677,3,0.990323,307,0.008403,2,0.987448,0.991597,0.989518,0.981447,0.998197,0.99691,0.932482,0.020851,0.979149,0.067518,0.934358,0.932482,0.930313,0.915299,0.9908,0.957638,0.913802,0.932482,0.001,0.002,0,0,0,0,13738,52461,52554,99.087591,17.153285,?,0,0,0,0,-3214.561644,-3845.204404,-3836.372859,-3442.515794,-3259.515794,?,?,?,?
ecoli-weka.filters.unsupervised.instance.Randomize-S29-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1,9,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,20170503.1942,549,546,511,35,0,93.589744,6.410256,0,0.910449,0.026842,0.111196,14.849491,37.086662,1175.457918,141.936518,1033.5214,2.152853,0.259957,1.892896,1051.628462,1.926059,47834.675697,1,238,0.016234,5,0.983766,303,0,0,0.979424,1,0.989605,0.981593,0.999291,0.998866,0.935897,0.018451,0.981549,0.064103,0.936624,0.935897,0.935267,0.92067,0.994546,0.972989,0.925045,0.935897,0.002,0.002,0,0,0,0,14156,52647,52368,99.450549,16.918498,?,0,0,0,0,-3471.955636,-4258.22295,-4222.910849,-3759.790267,-3544.790267,?,?,?,?
