@relation InstanceResultListener

@attribute Key_Dataset {ecoli-weka.filters.unsupervised.instance.Randomize-S29-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.bayes.NaiveBayes,weka.classifiers.bayes.BayesNet,weka.classifiers.trees.J48,weka.classifiers.trees.RandomForest,weka.classifiers.trees.LMT}
@attribute Key_Scheme_options {'','-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5','-C 0.25 -M 2','-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1','-I -1 -M 15 -W 0.0'}
@attribute Key_Scheme_version_ID {5995231201785697655,746037443258775954,-217733168393644444,1116839470751428698,-1113212459618104943}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 5\nSize of the tree: 9\n','Number of leaves: 7\nSize of the tree: 13\n','Number of leaves: 6\nSize of the tree: 11\n'}
@attribute measureExtraArcs numeric
@attribute measureMissingArcs numeric
@attribute measureReversedArcs numeric
@attribute measureDivergence numeric
@attribute measureBayesScore numeric
@attribute measureBDeuScore numeric
@attribute measureMDLScore numeric
@attribute measureAICScore numeric
@attribute measureEntropyScore numeric
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric
@attribute measureOutOfBagError numeric

@data

ecoli-weka.filters.unsupervised.instance.Randomize-S29-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170503.2009,40,349,280,69,0,80.229226,19.770774,0,0.706093,0.051965,0.215228,28.682716,72.928665,746.172788,12539.484677,-11793.311889,2.138031,35.929756,-33.791725,494.400064,1.416619,20618.921134,0.988304,169,0.044944,8,0.955056,170,0.011696,2,0.954802,0.988304,0.971264,0.943267,0.991918,0.992412,0.802292,0.055096,0.944904,0.197708,0.802724,0.802292,0.769296,0.742481,0.950751,0.792184,0.451292,0.802292,0,0.008,0,0,0,0,6170,5310,34047,83.954155,14.469914,?,?,?,?,?,?,?,?,?,?,?,?,?,?
ecoli-weka.filters.unsupervised.instance.Randomize-S29-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170503.2009,40,349,296,53,0,84.813754,15.186246,0,0.782352,0.04226,0.186757,23.253311,63.272337,751.595484,6083.891881,-5332.296396,2.153569,17.432355,-15.278786,589.049673,1.687821,24117.491078,0.906433,155,0.016854,3,0.983146,175,0.093567,16,0.981013,0.906433,0.942249,0.893403,0.992477,0.992638,0.848138,0.036659,0.963341,0.151862,0.860957,0.848138,0.848146,0.804378,0.963684,0.896425,0.656639,0.848138,0,0.008,0,0.015625,0,15.625,6170,5310,34047,89.398281,14.505731,?,?,?,?,?,?,?,?,?,?,?,?,?,?
ecoli-weka.filters.unsupervised.instance.Randomize-S29-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170503.2009,39,350,294,56,0,84,16,0,0.76599,0.045377,0.190902,25.139148,64.71424,748.54967,8343.768145,-7595.218476,2.138713,23.839338,-21.700624,546.156372,1.560447,22873.420138,0.982456,168,0.027933,5,0.972067,174,0.017544,3,0.971098,0.982456,0.976744,0.954336,0.99657,0.996693,0.84,0.038282,0.961718,0.16,0.836007,0.84,0.827516,0.800445,0.969258,0.875946,0.465711,0.84,0,0.009,0,0,0,0,6170,5217,34140,89.428571,15.464286,?,?,?,?,?,?,?,?,?,?,?,?,?,?
ecoli-weka.filters.unsupervised.instance.Randomize-S29-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1,4,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170503.2009,38,351,290,61,0,82.621083,17.378917,0,0.737185,0.046839,0.198619,26.136629,67.363107,745.213818,11196.995402,-10451.781583,2.123116,31.900272,-29.777156,526.26522,1.499331,22573.503722,0.994152,170,0.144444,26,0.855556,154,0.005848,1,0.867347,0.994152,0.926431,0.855283,0.991488,0.991552,0.826211,0.088185,0.911815,0.173789,0.807615,0.826211,0.806547,0.756402,0.964229,0.869535,0.462329,0.826211,0,0.009,0,0.015625,0,15.625,6170,5124,34233,86.609687,14.850427,?,?,?,?,?,?,?,?,?,?,?,?,?,?
ecoli-weka.filters.unsupervised.instance.Randomize-S29-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1,5,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170503.2009,38,351,289,62,0,82.336182,17.663818,0,0.744319,0.048617,0.19218,27.128783,65.179373,745.213818,10063.228654,-9318.014836,2.123116,28.670167,-26.547051,540.708482,1.54048,23193.029809,0.964912,165,0.033333,6,0.966667,174,0.035088,6,0.964912,0.964912,0.964912,0.931579,0.99152,0.990914,0.823362,0.042103,0.957897,0.176638,0.811572,0.823362,0.815731,0.775491,0.955767,0.837171,0.48287,0.823362,0.001,0.008,0,0.015625,0,15.625,6170,5124,34233,90.31339,15.740741,?,?,?,?,?,?,?,?,?,?,?,?,?,?
ecoli-weka.filters.unsupervised.instance.Randomize-S29-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1,6,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170503.2009,39,350,293,57,0,83.714286,16.285714,0,0.762081,0.040729,0.188427,22.568044,63.886346,746.54967,6724.862896,-5978.313227,2.132999,19.213894,-17.080895,554.885731,1.585388,23239.011962,0.94152,161,0.01676,3,0.98324,176,0.05848,10,0.981707,0.94152,0.961194,0.926351,0.993564,0.993856,0.837143,0.042039,0.957961,0.162857,0.861656,0.837143,0.826804,0.799702,0.97489,0.916503,0.516324,0.837143,0,0.009,0,0,0,0,6170,5217,34140,88,13.928571,?,?,?,?,?,?,?,?,?,?,?,?,?,?
ecoli-weka.filters.unsupervised.instance.Randomize-S29-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1,7,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170503.2009,39,350,298,52,0,85.142857,14.857143,0,0.782663,0.034445,0.168,19.086246,56.960573,746.54967,6719.619889,-5973.070219,2.132999,19.198914,-17.065915,596.112938,1.70318,24965.636927,0.947368,162,0.055866,10,0.944134,169,0.052632,9,0.94186,0.947368,0.944606,0.891401,0.982946,0.978597,0.851429,0.049881,0.950119,0.148571,0.846395,0.851429,0.839295,0.799771,0.970835,0.913635,0.548583,0.851429,0,0.008,0,0.015625,0,15.625,6170,5217,34140,91.428571,14.285714,?,?,?,?,?,?,?,?,?,?,?,?,?,?
ecoli-weka.filters.unsupervised.instance.Randomize-S29-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1,8,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170503.2009,39,350,306,44,0,87.428571,12.571429,0,0.817603,0.033229,0.156582,18.412329,53.089392,746.54967,6563.959127,-5817.409457,2.132999,18.754169,-16.62117,609.270986,1.740774,25516.705405,0.94152,161,0.01676,3,0.98324,176,0.05848,10,0.981707,0.94152,0.961194,0.926351,0.991081,0.992101,0.874286,0.032367,0.967633,0.125714,0.880489,0.874286,0.865647,0.838355,0.976829,0.919904,0.571684,0.874286,0,0.009,0,0,0,0,6170,5217,34140,93.428571,14.964286,?,?,?,?,?,?,?,?,?,?,?,?,?,?
ecoli-weka.filters.unsupervised.instance.Randomize-S29-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1,9,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170503.2009,39,350,290,60,0,82.857143,17.142857,0,0.74469,0.044701,0.202715,24.671263,68.67222,749.558707,8999.290704,-8249.731997,2.141596,25.712259,-23.570663,540.009032,1.542883,22360.090817,0.976608,167,0.067039,12,0.932961,167,0.023392,4,0.932961,0.976608,0.954286,0.909569,0.987814,0.987527,0.828571,0.061533,0.938467,0.171429,0.84458,0.828571,0.799514,0.773007,0.942758,0.802824,0.494322,0.828571,0,0.011,0,0.015625,0,15.625,6170,5217,34140,84.571429,13.785714,?,?,?,?,?,?,?,?,?,?,?,?,?,?
